,t,c,producto,CantidadPedir
1170,8,8,1,0
1171,8,8,2,0
1172,8,8,3,0
1173,8,8,4,0
1174,8,8,5,0
1175,8,8,6,0
1176,8,8,7,0
1177,8,8,8,0
1178,8,8,9,0
1179,8,8,10,0
1180,8,8,11,0
1181,8,8,12,0
1182,8,8,13,0
1183,8,8,14,0
1184,8,8,15,0
1185,8,9,1,0
1186,8,9,2,0
1187,8,9,3,0
1188,8,9,4,0
1189,8,9,5,0
1190,8,9,6,0
1191,8,9,7,0
1192,8,9,8,0
1193,8,9,9,0
1194,8,9,10,0
1195,8,9,11,0
1196,8,9,12,0
1197,8,9,13,0
1198,8,9,14,0
1199,8,9,15,0
1200,9,0,1,0
1201,9,0,2,27
1202,9,0,3,0
1203,9,0,4,0
1204,9,0,5,1
1205,9,0,6,0
1206,9,0,7,0
1207,9,0,8,0
1208,9,0,9,0
1209,9,0,10,0
1210,9,0,11,0
1211,9,0,12,0
1212,9,0,13,6
1213,9,0,14,0
1214,9,0,15,0
1215,9,1,1,0
1216,9,1,2,0
1217,9,1,3,0
1218,9,1,4,0
1219,9,1,5,0
1220,9,1,6,0
1221,9,1,7,0
1222,9,1,8,0
1223,9,1,9,0
1224,9,1,10,0
1225,9,1,11,0
1226,9,1,12,0
1227,9,1,13,0
1228,9,1,14,0
1229,9,1,15,0
1230,9,2,1,0
1231,9,2,2,0
1232,9,2,3,24
1233,9,2,4,0
1234,9,2,5,0
1235,9,2,6,0
1236,9,2,7,0
1237,9,2,8,0
1238,9,2,9,0
1239,9,2,10,0
1240,9,2,11,0
1241,9,2,12,0
1242,9,2,13,6
1243,9,2,14,0
1244,9,2,15,6
1245,9,3,1,0
1246,9,3,2,0
1247,9,3,3,0
1248,9,3,4,0
1249,9,3,5,0
1250,9,3,6,0
1251,9,3,7,0
1252,9,3,8,0
1253,9,3,9,0
1254,9,3,10,0
1255,9,3,11,0
1256,9,3,12,0
1257,9,3,13,0
1258,9,3,14,0
1259,9,3,15,0
1260,9,4,1,0
1261,9,4,2,0
1262,9,4,3,0
1263,9,4,4,0
1264,9,4,5,0
1265,9,4,6,0
1266,9,4,7,0
1267,9,4,8,0
1268,9,4,9,0
1269,9,4,10,0
1270,9,4,11,0
1271,9,4,12,0
1272,9,4,13,0
1273,9,4,14,0
1274,9,4,15,0
1275,9,5,1,0
1276,9,5,2,0
1277,9,5,3,0
1278,9,5,4,0
1279,9,5,5,0
1280,9,5,6,20
1281,9,5,7,0
1282,9,5,8,0
1283,9,5,9,1
1284,9,5,10,0
1285,9,5,11,0
1286,9,5,12,3
1287,9,5,13,7
1288,9,5,14,5
1289,9,5,15,0
1290,9,6,1,0
1291,9,6,2,0
1292,9,6,3,0
1293,9,6,4,0
1294,9,6,5,0
1295,9,6,6,0
1296,9,6,7,0
1297,9,6,8,0
1298,9,6,9,0
1299,9,6,10,0
1300,9,6,11,0
1301,9,6,12,0
1302,9,6,13,0
1303,9,6,14,0
1304,9,6,15,0
1305,9,7,1,0
1306,9,7,2,23
1307,9,7,3,0
1308,9,7,4,0
1309,9,7,5,0
1310,9,7,6,0
1311,9,7,7,0
1312,9,7,8,0
1313,9,7,9,0
1314,9,7,10,0
1315,9,7,11,1
1316,9,7,12,0
1317,9,7,13,0
1318,9,7,14,0
1319,9,7,15,12
1320,9,8,1,0
1321,9,8,2,0
1322,9,8,3,0
1323,9,8,4,0
1324,9,8,5,0
1325,9,8,6,0
1326,9,8,7,0
1327,9,8,8,0
1328,9,8,9,0
1329,9,8,10,0
1330,9,8,11,0
1331,9,8,12,0
1332,9,8,13,0
1333,9,8,14,0
1334,9,8,15,0
1335,9,9,1,0
1336,9,9,2,0
1337,9,9,3,0
1338,9,9,4,0
1339,9,9,5,0
1340,9,9,6,0
1341,9,9,7,0
1342,9,9,8,0
1343,9,9,9,0
1344,9,9,10,0
1345,9,9,11,0
1346,9,9,12,0
1347,9,9,13,0
1348,9,9,14,0
1349,9,9,15,0
1350,10,0,1,0
1351,10,0,2,0
1352,10,0,3,0
1353,10,0,4,0
1354,10,0,5,0
1355,10,0,6,0
