,k,t,i,b,x,y,z,r
557,1,1,5,a,9600,1200,0,0
558,1,1,5,a,9600,1200,750,0
559,1,1,5,a,9600,1200,1500,0
560,1,1,5,a,9600,1200,2250,0
561,1,1,1,b,11200,1200,0,1
562,1,1,1,b,11200,1200,1000,1
563,1,1,1,b,11200,1200,2000,1
564,1,1,1,b,12400,1200,0,1
565,1,1,1,b,12400,1200,1000,1
566,1,1,1,b,12400,1200,2000,1
567,1,2,1,a,0,0,0,0
568,1,2,1,a,0,0,750,0
569,1,2,1,a,0,0,1500,0
570,1,2,1,a,0,0,2250,0
571,1,2,3,b,1600,0,0,0
572,1,2,3,b,1600,0,1000,0
573,1,2,3,b,1600,0,2000,0
574,1,2,3,b,2800,0,0,0
575,1,2,3,b,2800,0,1000,0
576,1,2,3,b,2800,0,2000,0
577,1,2,3,b,4000,0,0,0
578,1,2,3,b,4000,0,1000,0
579,1,2,3,b,4000,0,2000,0
580,1,2,3,b,5200,0,0,0
581,1,2,3,b,5200,0,1000,0
582,1,2,3,b,5200,0,2000,0
583,1,2,3,b,6400,0,0,0
584,1,2,3,b,6400,0,1000,0
585,1,2,3,b,6400,0,2000,0
586,1,2,3,b,7600,0,0,0
587,1,2,3,b,7600,0,1000,0
588,1,2,3,b,7600,0,2000,0
589,1,2,3,b,8800,0,0,0
590,1,2,3,b,8800,0,1000,0
591,1,2,3,b,8800,0,2000,0
592,1,2,3,b,10000,0,0,0
593,1,2,3,b,10000,0,1000,0
594,1,2,3,b,10000,0,2000,0
595,1,2,3,b,11200,0,0,0
596,1,2,3,b,11200,0,1000,0
597,1,2,3,b,11200,0,2000,0
598,1,2,3,b,12400,0,0,0
599,1,2,3,b,12400,0,1000,0
600,1,2,3,b,12400,0,2000,0
601,1,2,1,a,0,1200,0,0
602,1,2,1,a,0,1200,750,0
603,1,2,1,a,0,1200,1500,0
604,1,2,1,a,0,1200,2250,0
605,1,2,1,a,1600,1200,0,0
606,1,2,1,a,1600,1200,750,0
607,1,2,1,a,1600,1200,1500,0
608,1,2,1,a,1600,1200,2250,0
609,1,2,1,a,3200,1200,0,0
610,1,2,1,a,3200,1200,750,0
611,1,2,1,a,3200,1200,1500,0
612,1,2,1,a,3200,1200,2250,0
613,1,2,3,b,4800,1200,0,1
614,1,2,3,b,4800,1200,1000,1
615,1,2,3,b,4800,1200,2000,1
616,1,2,3,b,6000,1200,0,1
617,1,2,4,b,6000,1200,1000,1
618,1,2,4,b,6000,1200,2000,1
619,1,2,4,b,6000,1200,3000,1
620,1,2,4,b,7200,1200,0,1
621,1,2,4,b,7200,1200,1000,1
622,1,2,4,b,7200,1200,2000,1
623,1,2,4,b,8400,1200,0,1
624,1,2,4,b,8400,1200,1000,1
625,1,2,4,b,8400,1200,2000,1
626,1,2,4,b,9600,1200,0,1
627,1,2,4,b,9600,1200,1000,1
628,1,2,4,b,9600,1200,2000,1
629,1,2,4,b,10800,1200,0,1
630,1,2,4,b,10800,1200,1000,1
631,1,2,4,b,10800,1200,2000,1
632,1,2,4,b,12000,1200,0,1
633,1,2,4,b,12000,1200,1000,1
634,1,3,4,b,0,0,0,1
635,1,3,4,b,0,0,1000,1
636,1,3,4,b,0,0,2000,1
637,1,3,4,b,1200,0,0,1
638,1,3,4,b,1200,0,1000,1
639,1,3,4,b,1200,0,2000,1
640,1,3,4,b,2400,0,0,1
641,1,3,4,b,2400,0,1000,1
642,1,3,4,b,2400,0,2000,1
643,1,3,4,b,3600,0,0,1
644,1,3,4,b,3600,0,1000,1
645,1,3,4,b,3600,0,2000,1
646,1,3,4,b,4800,0,0,1
647,1,3,4,b,4800,0,1000,1
648,1,3,4,b,4800,0,2000,1
649,1,3,4,b,6000,0,0,1
650,1,3,4,b,6000,0,1000,1
651,1,3,4,b,6000,0,2000,1
652,1,3,4,b,7200,0,0,1
653,1,3,4,b,7200,0,1000,1
654,1,3,4,b,7200,0,2000,1
655,1,3,4,b,8400,0,0,1
656,1,3,4,b,8400,0,1000,1
657,1,3,4,b,8400,0,2000,1
658,1,3,4,b,9600,0,0,1
659,1,3,4,b,9600,0,1000,1
660,1,3,4,b,9600,0,2000,1
661,1,3,4,b,10800,0,0,1
662,1,3,4,b,10800,0,1000,1
663,1,3,4,b,10800,0,2000,1
664,1,3,4,b,12000,0,0,1
665,1,3,4,b,12000,0,1000,1
666,1,3,4,b,12000,0,2000,1
667,1,3,1,a,0,1200,0,0
668,1,3,1,a,0,1200,750,0
669,1,3,1,a,0,1200,1500,0
670,1,3,1,a,0,1200,2250,0
671,1,3,1,a,1600,1200,0,0
672,1,3,1,a,1600,1200,750,0
