,k,t,i,b,x,y,z,r,Volume
467,0,4,1,b,5400,1200,1000,0,1200000000
468,0,4,6,b,5400,1200,2000,0,1200000000
469,0,4,5,a,5800,0,0,0,1440000000
470,0,4,5,a,5800,0,750,0,1440000000
471,0,4,3,a,5800,0,1500,0,1440000000
472,0,4,5,a,5800,0,2250,0,1440000000
473,0,4,3,a,6400,1200,0,0,1440000000
474,0,4,5,a,6400,1200,750,0,1440000000
475,0,4,3,a,6400,1200,1500,0,1440000000
476,0,4,5,a,6400,1200,2250,0,1440000000
477,0,4,8,b,7400,0,0,0,1200000000
478,0,4,2,b,7400,0,1000,0,1200000000
479,0,4,6,b,7400,0,2000,0,1200000000
480,0,4,3,a,8000,1200,0,0,1440000000
481,0,4,5,a,8000,1200,750,0,1440000000
482,0,4,3,a,8000,1200,1500,0,1440000000
483,0,4,3,a,8000,1200,2250,0,1440000000
484,0,4,1,b,8400,0,0,0,1200000000
485,0,4,8,b,8400,0,1000,0,1200000000
486,0,4,6,b,8400,0,2000,0,1200000000
487,0,4,8,b,9400,0,0,0,1200000000
488,0,4,6,b,9400,0,1000,0,1200000000
489,0,4,2,b,9400,0,2000,0,1200000000
490,0,4,6,b,9600,1200,0,0,1200000000
491,0,4,1,b,9600,1200,1000,0,1200000000
492,0,4,6,b,9600,1200,2000,0,1200000000
493,0,4,3,a,10400,0,0,0,1440000000
494,0,4,3,a,10400,0,750,0,1440000000
495,0,4,3,a,10400,0,1500,0,1440000000
496,0,4,3,a,10400,0,2250,0,1440000000
497,0,4,2,b,10600,1200,0,0,1200000000
498,0,4,6,b,10600,1200,1000,0,1200000000
499,0,4,1,b,10600,1200,2000,0,1200000000
500,0,4,3,a,12000,0,0,0,1440000000
501,0,4,3,a,12000,0,750,0,1440000000
502,0,4,3,a,12000,0,1500,0,1440000000
503,0,4,3,a,12000,0,2250,0,1440000000
504,0,4,6,b,11600,1200,0,0,1200000000
505,0,4,6,b,11600,1200,1000,0,1200000000
506,0,4,2,b,11600,1200,2000,0,1200000000
507,0,4,6,b,12600,1200,0,0,1200000000
508,0,4,1,b,12600,1200,1000,0,1200000000
509,0,4,6,b,12600,1200,2000,0,1200000000
510,1,4,3,a,0,0,0,0,1440000000
511,1,4,3,a,0,0,750,0,1440000000
512,1,4,3,a,0,0,1500,0,1440000000
513,1,4,5,a,0,0,2250,0,1440000000
