,t,c,producto,CantidadPedir
905,7,9,9,7
906,7,9,10,0
907,7,9,11,0
908,7,9,12,5
909,7,9,13,0
910,8,0,1,4
911,8,0,2,0
912,8,0,3,0
913,8,0,4,7
914,8,0,5,7
915,8,0,6,8
916,8,0,7,4
917,8,0,8,5
918,8,0,9,5
919,8,0,10,0
920,8,0,11,0
921,8,0,12,0
922,8,0,13,0
923,8,1,1,4
924,8,1,2,15
925,8,1,3,1
926,8,1,4,0
927,8,1,5,2
928,8,1,6,0
929,8,1,7,0
930,8,1,8,0
931,8,1,9,0
932,8,1,10,0
933,8,1,11,0
934,8,1,12,10
935,8,1,13,8
936,8,2,1,0
937,8,2,2,0
938,8,2,3,0
939,8,2,4,0
940,8,2,5,0
941,8,2,6,0
942,8,2,7,0
943,8,2,8,0
944,8,2,9,0
945,8,2,10,0
946,8,2,11,0
947,8,2,12,0
948,8,2,13,0
949,8,3,1,0
950,8,3,2,0
951,8,3,3,0
952,8,3,4,0
953,8,3,5,0
954,8,3,6,0
955,8,3,7,0
956,8,3,8,0
957,8,3,9,0
958,8,3,10,0
959,8,3,11,0
960,8,3,12,0
961,8,3,13,0
962,8,4,1,0
963,8,4,2,0
964,8,4,3,5
965,8,4,4,0
966,8,4,5,0
967,8,4,6,0
968,8,4,7,4
969,8,4,8,0
970,8,4,9,4
971,8,4,10,10
972,8,4,11,6
973,8,4,12,4
974,8,4,13,6
975,8,5,1,0
976,8,5,2,0
977,8,5,3,0
978,8,5,4,0
979,8,5,5,0
980,8,5,6,0
981,8,5,7,0
982,8,5,8,0
983,8,5,9,0
984,8,5,10,0
985,8,5,11,0
986,8,5,12,0
987,8,5,13,0
988,8,6,1,0
989,8,6,2,0
990,8,6,3,0
991,8,6,4,0
992,8,6,5,0
993,8,6,6,0
994,8,6,7,0
995,8,6,8,0
996,8,6,9,0
997,8,6,10,0
998,8,6,11,0
999,8,6,12,0
1000,8,6,13,0
1001,8,7,1,0
1002,8,7,2,0
1003,8,7,3,0
1004,8,7,4,0
1005,8,7,5,0
1006,8,7,6,0
1007,8,7,7,0
1008,8,7,8,0
1009,8,7,9,0
1010,8,7,10,0
1011,8,7,11,0
1012,8,7,12,0
1013,8,7,13,0
1014,8,8,1,0
1015,8,8,2,0
1016,8,8,3,0
1017,8,8,4,0
1018,8,8,5,0
1019,8,8,6,0
1020,8,8,7,0
1021,8,8,8,0
1022,8,8,9,0
1023,8,8,10,0
1024,8,8,11,0
1025,8,8,12,0
1026,8,8,13,0
1027,8,9,1,0
1028,8,9,2,0
1029,8,9,3,0
1030,8,9,4,0
1031,8,9,5,0
1032,8,9,6,0
1033,8,9,7,0
1034,8,9,8,0
1035,8,9,9,0
1036,8,9,10,0
1037,8,9,11,0
1038,8,9,12,0
1039,8,9,13,0
1040,9,0,1,0
1041,9,0,2,0
1042,9,0,3,0
1043,9,0,4,0
1044,9,0,5,0
1045,9,0,6,0
1046,9,0,7,0
1047,9,0,8,0
1048,9,0,9,0
1049,9,0,10,0
1050,9,0,11,0
1051,9,0,12,0
1052,9,0,13,0
1053,9,1,1,0
